u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,junction,maxspeed,access,ref,bridge,width,tunnel
245666475,3212163820,0,"[315122579, 315122580]",True,Eastern Freeway,motorway_link,False,365.243,"LINESTRING (72.9149519 19.0630091, 72.9146719 19.0626124, 72.9145481 19.0623765, 72.9144497 19.0620156, 72.9144119 19.0617522, 72.9143755 19.0613794, 72.9143083 19.0608427, 72.9142561 19.0604882, 72.914161 19.0601775, 72.9140196 19.059898)",2,,,,,yes,,
245667692,2146269450,0,107213212,True,Ghatkopar Mahul Road,tertiary,False,163.467,"LINESTRING (72.9028377 19.0735183, 72.9021811 19.0721856)",,,,,,,,
245667692,2146270424,0,204634558,False,Road No. 6,tertiary,False,87.83,"LINESTRING (72.9028377 19.0735183, 72.9028742 19.0734665, 72.9033706 19.0729103)",,,,,,,,
245668052,12068018711,0,275786437,False,Mathuradas Vasanji Road (Andheri Kurla Road),tertiary,False,91.729,"LINESTRING (72.8800151 19.0759669, 72.8801212 19.0764125, 72.8801553 19.0765557, 72.8802068 19.0767717)",,,,,,,,
245668052,2246472442,0,570227374,False,Masrani Lane,tertiary,False,89.935,"LINESTRING (72.8800151 19.0759669, 72.8803178 19.0760629, 72.8808534 19.0760924)",,,,,,,,
245668490,2246472636,0,22844323,False,Ratilal Mehta Marg,tertiary,False,74.489,"LINESTRING (72.9079577 19.0792963, 72.9077429 19.0786579)",,,,,,,,
245668490,1643047705,0,1122483523,False,Vallabh Baug Lane,tertiary,False,86.125,"LINESTRING (72.9079577 19.0792963, 72.9087388 19.0790618)",,,,,,,,
245668515,10770722930,0,1158161157,False,,tertiary,False,14.339,"LINESTRING (72.8803239 19.0796532, 72.8802079 19.0797211)",,,,,,,,
245668515,6497154927,0,1415533241,True,Lal Bahadur Shastri Marg,primary,False,46.508,"LINESTRING (72.8803239 19.0796532, 72.880066 19.0793133)",,,,,,,,
245668515,10923636678,0,275786437,False,Mathuradas Vasanji Road (Andheri Kurla Road),tertiary,True,22.399,"LINESTRING (72.8803239 19.0796532, 72.8803181 19.0795559, 72.8803115 19.0794521)",,,,,,,,
245668515,12761713664,0,1378258425,False,,residential,False,72.751,"LINESTRING (72.8803239 19.0796532, 72.8804637 19.0795903, 72.8805442 19.0795836, 72.8810002 19.0796066)",,,,,,,,
278919343,4362754073,0,1173896027,True,,secondary,False,107.106,"LINESTRING (72.8948845 19.0390888, 72.8949678 19.0381288)",,,,,,,,
278919343,278919550,0,1268427406,False,,tertiary,True,13.402,"LINESTRING (72.8948845 19.0390888, 72.8947592 19.0390665)",,,,,,,,
278919550,11827339619,0,1268427404,True,Ramakrishna Chemburkar Marg (Ghatkopar Mahul Road),secondary,False,13.296,"LINESTRING (72.8947592 19.0390665, 72.8947298 19.0391828)",,,,,,,,
278919550,278919343,0,1268427406,False,,tertiary,False,13.402,"LINESTRING (72.8947592 19.0390665, 72.8948845 19.0390888)",,,,,,,,
278919550,11052455185,0,25587613,False,,tertiary,True,178.233,"LINESTRING (72.8947592 19.0390665, 72.8946948 19.0390534, 72.8943425 19.0389951, 72.8938748 19.0390423, 72.893847 19.0390529, 72.893261 19.0392297, 72.8931142 19.0392814)",,,,,,,,
528785879,5838250404,0,1268424017,True,Sion Panvel Highway,trunk,False,19.826,"LINESTRING (72.9088011 19.046075, 72.9086835 19.0462144)",4,,,,,,,
528785879,245663894,0,1235796611,True,,trunk,False,31.455,"LINESTRING (72.9088011 19.046075, 72.908822 19.0461429, 72.9088585 19.0462046, 72.9089088 19.0462569, 72.9089703 19.0462973)",7,roundabout,,,,,,
528785934,13103368075,0,1235796613,True,,trunk,False,2.991,"LINESTRING (72.9092659 19.0457367, 72.9092387 19.0457288)",7,roundabout,,,,,,
528785949,5354454748,0,1235796613,True,,trunk,False,9.032,"LINESTRING (72.9090118 19.0457295, 72.9089358 19.0457674)",7,roundabout,,,,,,
529576444,245664187,0,22854210,True,,secondary,False,89.489,"LINESTRING (72.9005172 19.0505199, 72.9006146 19.0504793, 72.900694 19.0504122, 72.9007477 19.0503254, 72.9007705 19.0502271, 72.9007602 19.050127, 72.9007178 19.0500347, 72.9006474 19.0499593, 72.9005559 19.049908)",,roundabout,,,,,,
