osmid,y,x,street_count,highway,geometry
1366938303,19.0671773,72.903277,3,,POINT (72.903277 19.0671773)
1366938309,19.0677208,72.903139,3,,POINT (72.903139 19.0677208)
1366938348,19.0690797,72.9061928,3,,POINT (72.9061928 19.0690797)
1366956109,19.0623128,72.9176971,3,traffic_signals,POINT (72.9176971 19.0623128)
1366956128,19.0633282,72.9173711,3,,POINT (72.9173711 19.0633282)
1366956140,19.0636203,72.9183507,3,,POINT (72.9183507 19.0636203)
1366956158,19.0641424,72.9186193,3,,POINT (72.9186193 19.0641424)
1366956173,19.0647088,72.9189163,3,,POINT (72.9189163 19.0647088)
1366956178,19.0648702,72.9184943,3,,POINT (72.9184943 19.0648702)
1366956182,19.0649843,72.9182583,3,,POINT (72.9182583 19.0649843)
1366956184,19.0650654,72.9181203,1,,POINT (72.9181203 19.0650654)
1366956189,19.0652355,72.9191901,3,,POINT (72.9191901 19.0652355)
1366956200,19.0652317,72.9198157,4,,POINT (72.9198157 19.0652317)
1366956203,19.0654124,72.9187478,4,,POINT (72.9187478 19.0654124)
1366956223,19.0657272,72.9181405,1,,POINT (72.9181405 19.0657272)
1366956224,19.0658116,72.9194895,4,,POINT (72.9194895 19.0658116)
1366956257,19.0659447,72.919063,3,,POINT (72.919063 19.0659447)
1366956259,19.0660696,72.9188134,3,,POINT (72.9188134 19.0660696)
1366956262,19.06611,72.9187328,1,,POINT (72.9187328 19.06611)
1366956264,19.0663377,72.9197608,3,,POINT (72.9197608 19.0663377)
1366956270,19.0666155,72.9199079,3,,POINT (72.9199079 19.0666155)
1366956271,19.0666075,72.9191064,3,,POINT (72.9191064 19.0666075)
1366956274,19.0666849,72.9189495,1,,POINT (72.9189495 19.0666849)
1366956275,19.0669639,72.9190699,1,,POINT (72.9190699 19.0669639)
1366986942,19.0309798,72.8968473,3,,POINT (72.8968473 19.0309798)
1366986948,19.0327236,72.8962939,3,,POINT (72.8962939 19.0327236)
1366986952,19.0330269,72.8978893,3,,POINT (72.8978893 19.0330269)
1366986955,19.0330281,72.9020942,3,,POINT (72.9020942 19.0330281)
1366987045,19.0466082,72.9094706,3,,POINT (72.9094706 19.0466082)
1366987053,19.0473303,72.9160374,1,,POINT (72.9160374 19.0473303)
1367092731,19.0519732,72.9105928,4,,POINT (72.9105928 19.0519732)
1367092760,19.0525581,72.9070626,3,,POINT (72.9070626 19.0525581)
1367092768,19.0527157,72.9071901,4,,POINT (72.9071901 19.0527157)
1367092773,19.0527541,72.9059484,3,,POINT (72.9059484 19.0527541)
1367092779,19.0528001,72.9055951,3,,POINT (72.9055951 19.0528001)
1367092892,19.0553439,72.9078051,1,,POINT (72.9078051 19.0553439)
1367092904,19.0562772,72.9052936,1,,POINT (72.9052936 19.0562772)
