u,v,length
1651421871,9311818809,45.347
1651421877,1651421871,222.729
1651421877,1643351781,34.137
1651421877,2629741746,90.975
1651421946,245665637,40.456
1651421946,245665702,117.062
1651421946,1651414460,112.516
1651421957,1651421963,149.628
1651421957,5330842616,107.808
1651421957,10151560370,124.22300000000001
1651421959,4264598312,18.61
1651421959,1651414478,167.794
1651421961,245665982,13.452
1651421961,1651404922,110.119
1651421963,1651421957,149.628
1651421963,10151560371,122.64
1651421963,1367093036,122.364
1654348854,11143613408,9.759
1654348854,245665197,197.44900000000004
1654348871,2248802537,78.568
1654348871,11143613414,6.113
1654348871,1654348885,137.203
1654348885,11149490184,10.789
1654348885,11143613414,138.402
1654348910,3463796101,32.182
1654348910,10207397934,15.027
1654348910,7379608698,90.432
1654383155,10116201906,48.337
1654383155,1366794970,46.370999999999995
1654383160,2143584813,120.499
1654383160,6576079903,153.77800000000002
1654383160,1654383162,128.734
1654383162,1651414430,59.746
1654383162,1654383160,128.734
1654383162,7370608157,62.018
1654383165,7370608151,18.3
1654383187,1654383209,47.021
1654383187,4357289641,101.361
1654383187,1654383197,155.726
1654383197,1654383209,101.35000000000001
1654383197,1654383187,155.726
1654383197,4357289642,87.849
1654383209,1654383238,66.83
1654383209,1654383213,126.132
1654383209,1654383197,101.35000000000001
1654383213,1654383209,126.132
1654383238,5913226251,97.207
1654383238,12697993395,171.12400000000002
1654383238,4357289642,92.94300000000001
1654383278,5913226254,9.327
1654383278,9679086525,75.03399999999999
1654383282,5913464735,71.427
1665624924,1665625108,762.1930000000002
1665624924,619305731,1523.5249999999996
1665625025,5349392408,270.85
1665625025,1232644427,254.31300000000002
1665625040,1665625025,17.676
1665625106,3105782008,364.253
1665625108,6569087156,45.067
1665625108,1366938348,205.015
1665625108,6569087155,84.38999999999999
1665625137,10820417303,75.527
1665625137,8507768263,27.944
1665625168,1665625106,72.641
1665625168,6569087157,59.426
1665625199,1665625258,50.254
1665625199,1665625168,61.03
1665625258,10282074751,98.682
1665625258,1665625285,54.284
1665625258,1665625199,50.254
1665625285,1665625298,25.124
1665625285,1665625258,54.284
1665625285,2146269444,82.029
1665625298,1665625285,25.124
1665625298,4357300487,59.527
1665625298,4357300488,171.243
1665625322,2246472316,125.695
1665625322,3245616504,114.17
1665625327,5843735650,380.01099999999997
1665625327,10820417298,410.06600000000003
1665625334,12364540586,19.002
1665625334,1665625199,318.726
1665625334,7371765642,317.532
1665625343,1665625359,92.279
1665625343,1665625383,138.036
1665625343,5267231816,99.80699999999999
1665625357,1643035294,28.802
1665625357,4357300488,210.63800000000003
1665625359,1665625343,92.279
1665625359,1665625386,135.39499999999998
1665625359,7370996409,55.727000000000004
1665625370,1665625384,140.27700000000002
1665625383,2246472376,47.16
1665625383,4357290592,17.008
1665625383,1665625343,138.036
1665625384,4144721128,9.157
1665625384,1665625370,140.277
1665625384,1665625408,102.31700000000001
1665625386,4357290592,50.624
1665625386,4357290591,16.364
1665625386,1665625359,135.395
1665625408,6469480455,25.729
1665625408,1665625384,102.31700000000001
1665625408,4144721142,126.485
1665625432,4144721142,101.294
1665625432,1665625439,104.45
1665625432,1665625437,79.235
1665625432,7370996423,77.683
1665625434,1665625439,78.889
1665625437,1665625432,79.235
1665625437,1665625440,87.716
1665625437,4144721143,102.497
1665625439,1665625432,104.45
1665625439,1665625434,78.889
1665625439,1665625450,89.614
1665625440,1665625450,23.998
1665625440,1665625437,87.716
1665625440,1665625451,65.479
1665625450,1665625439,89.614
1665625450,1665625440,23.998
1665625450,4357290599,53.759
1665625451,1665625440,65.479
1665625451,8976481325,8.928
1665625451,11252156300,716.854
1665625452,8976481324,7.062
1665625452,6583122231,178.238
1683617366,1232644197,9.409
1683617366,10809175117,327.483
1738882048,3878559848,714.098
1738882048,11066146235,178.274
1738882048,1738882054,59.034000000000006
1738882054,11054142496,69.019
1738882054,1738882048,59.034
